               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.024803,            0.017051,                   0,             0.79897,                 0.8,             0.89614,             0.57346,            0.012806,           0.0057079,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.021863,            0.016349,                   0,             0.75905,             0.71429,             0.83112,             0.57188,            0.011873,           0.0057988,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021418,            0.015519,                   0,             0.75407,             0.78863,             0.83262,             0.55794,            0.013062,            0.005588,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.023974,            0.015636,                   0,             0.72444,             0.77143,             0.79101,             0.55643,            0.012909,           0.0053998,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024935,             0.01591,                   0,             0.72871,             0.69083,             0.77564,             0.55756,            0.012638,            0.005317,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.020428,            0.015745,                   0,             0.72514,             0.77143,             0.82701,             0.55746,            0.013295,           0.0053999,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.022097,            0.015659,                   0,             0.74652,             0.82857,              0.8429,             0.57727,            0.013308,           0.0052013,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.021233,             0.01542,                   0,             0.74523,             0.82857,             0.84951,             0.59317,            0.013621,           0.0052474,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018575,            0.015151,                   0,             0.81135,             0.74286,              0.8348,             0.58152,            0.013468,           0.0055798,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021994,            0.016227,                   0,             0.80437,             0.70508,             0.79821,             0.57702,            0.013407,           0.0056883,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016642,            0.015199,                   0,               0.779,             0.70519,             0.79657,             0.57267,            0.013345,            0.005542,                   0,            0.000298,            0.000298,            0.000298
